type_id,lat,lng,type,id,district
180,30.7027359500957,104.073856606139,pk,130,成华区
181,30.715859947423,104.073296386588,pk,131,成华区
182,30.7134405472361,104.078027847513,pk,132,成华区
183,30.6896813469144,104.070779893267,pk,133,金牛区
184,30.6923210301607,104.070872559681,pk,134,金牛区
185,30.6954325541897,104.074335151216,pk,135,金牛区
186,30.6614842585428,104.073707198332,pk,136,锦江区
187,30.6648580832591,104.075717916552,pk,137,锦江区
188,30.6803345345558,104.077642646569,pk,138,金牛区
189,30.6764485852931,104.075013668094,pk,139,青羊区
190,30.6757415074037,104.074438651145,pk,140,青羊区
192,30.6648124391327,104.075684932484,pk,141,锦江区
194,30.7051176659088,104.07440990317,pk,142,成华区
195,30.66696555192,104.074901736008,pk,143,青羊区
198,30.6803628430817,104.077659799067,pk,144,金牛区
200,30.7051180279576,104.074526627434,pk,145,成华区
203,30.663656797701,104.080253911592,pk,146,锦江区
204,30.6803920511086,104.077680606951,pk,147,金牛区
205,30.7127599231743,104.086477246426,pk,148,成华区
206,30.6839714984075,104.080066546904,pk,149,金牛区
207,30.6803920511086,104.077680606951,pk,150,金牛区
208,30.6692705285058,104.077738629504,pk,151,青羊区
209,30.6589056185631,104.078655030082,pk,152,锦江区
210,30.6581974984791,104.081071888398,pk,153,锦江区
213,30.6692705285058,104.077738629504,pk,154,青羊区
214,30.6623222753476,104.080815661574,pk,155,锦江区
215,30.6839714984075,104.080066546904,pk,156,金牛区
216,30.6633712215233,104.07949002147,pk,157,锦江区
217,30.6814085169955,104.078348790366,pk,158,金牛区
218,30.6873094265156,104.080509394666,pk,159,金牛区
219,30.6581688869579,104.081135341074,pk,160,锦江区
221,30.6656036154782,104.08284714684,pk,161,锦江区
223,30.6771054042187,104.083011320844,pk,162,金牛区
224,30.6589060381944,104.081536020571,pk,163,锦江区
225,30.671514318568,104.081198008265,pk,164,青羊区
226,30.6700748916994,104.084511859775,pk,165,青羊区
227,30.6772796493091,104.081848103158,pk,166,金牛区
229,30.6771054042187,104.083011320844,pk,167,金牛区
230,30.6771054042187,104.083011320844,pk,168,金牛区
231,30.6687136722587,104.083161110052,pk,169,青羊区
232,30.6622541318728,104.083260608194,pk,170,锦江区
233,30.6622393080481,104.08329294909,pk,171,锦江区
234,30.683115794177098,104.083224808609,pk,172,金牛区
235,30.6786979584041,104.083404037083,pk,173,金牛区
236,30.6780877377991,104.084633237584,pk,174,金牛区
237,30.6744264701069,104.085385424016,pk,175,金牛区
238,30.6843006450113,104.083898512346,pk,176,金牛区
239,30.6844356972411,104.087927625763,pk,177,成华区
241,30.6657079285701,104.085409836382,pk,178,锦江区
242,30.6671466582226,104.08381968563,pk,179,锦江区
243,30.6753106968849,104.085526682288,pk,180,金牛区
245,30.6661488951459,104.084467899876,pk,181,锦江区
246,30.686469136686,104.084854775942,pk,182,金牛区
247,30.6620681861121,104.086113071271,pk,183,锦江区
248,30.6850214951339,104.084420660158,pk,184,金牛区
249,30.6804487076456,104.085245259359,pk,185,金牛区
250,30.686507417127,104.085471466741,pk,186,金牛区
251,30.6854506772043,104.086315153533,pk,187,金牛区
252,30.7029724699812,104.086898564403,pk,188,成华区
253,30.6830374714893,104.086982988519,pk,189,成华区
254,30.6740465449118,104.086148053636,pk,190,金牛区
256,30.661575048574,104.084736127354,pk,191,锦江区
257,30.6844356972411,104.087927625763,pk,192,成华区
259,30.6836140359363,104.08737113487,pk,193,成华区
260,30.6634675272995,104.090199237829,pk,194,成华区
261,30.664560506684,104.089906989081,pk,195,锦江区
262,30.7044799944791,104.092099041621,pk,196,成华区
263,30.6729780505785,104.089209465261,pk,197,成华区
264,30.67145294469,104.093834796422,pk,198,成华区
265,30.6764347843381,104.090179042622,pk,199,成华区
266,30.6614924781394,104.090940279378,pk,200,成华区
268,30.7127559518807,104.08652756157,pk,201,成华区
269,30.7029512002795,104.090392824467,pk,202,成华区
