,date,hour,dayofweek,dayofyear,dayofmonth,weekofyear,temperature,dew_point,humidity,wind_speed,pressure,poi1,poi2,poi3,poi4,poi5,road_level,speed_limit,lat,lng,label
42902,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,3,1,2,2,-1,60,24.475832999999998,118.1023115,1
42903,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,3,1,2,2,-1,60,24.475832999999998,118.1023115,1
42904,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,3,1,2,2,-1,60,24.475832999999998,118.1023115,1
42905,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,3,1,2,2,-1,60,24.475832999999998,118.1023115,1
43622,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,1,3,1,5,5,49,5,24.462301,118.06986,0
43623,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,1,3,1,5,5,49,5,24.462301,118.06986,0
43624,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,3,1,5,5,49,5,24.462301,118.06986,0
43625,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,3,1,5,5,49,5,24.462301,118.06986,0
44342,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,3,4,1,3,3,-1,60,24.467377499999998,118.0935235,0
44343,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,3,4,1,3,3,-1,60,24.467377499999998,118.0935235,1
44344,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,3,4,1,3,3,-1,60,24.467377499999998,118.0935235,0
44345,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,3,4,1,3,3,-1,60,24.467377499999998,118.0935235,0
45062,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,8,17,6,0,0,45000,40,24.456077,118.070846,0
45063,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,8,17,6,0,0,45000,40,24.456077,118.070846,0
45064,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,8,17,6,0,0,45000,40,24.456077,118.070846,0
45065,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,8,17,6,0,0,45000,40,24.456077,118.070846,0
45782,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,9,2,3,3,45000,60,24.4808045,118.07953149999999,2
45783,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,9,2,3,3,45000,60,24.4808045,118.07953149999999,2
45784,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,9,2,3,3,45000,60,24.4808045,118.07953149999999,2
45785,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,9,2,3,3,45000,60,24.4808045,118.07953149999999,2
46502,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,6,9,4,1,1,-1,60,24.465876,118.07421000000001,1
46503,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,6,9,4,1,1,-1,60,24.465876,118.07421000000001,1
46504,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,6,9,4,1,1,-1,60,24.465876,118.07421000000001,0
46505,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,6,9,4,1,1,-1,60,24.465876,118.07421000000001,0
47222,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,4,2,0,0,-1,40,24.4464705,118.08273899999999,0
47223,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,4,2,0,0,-1,40,24.4464705,118.08273899999999,0
47224,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,4,2,0,0,-1,40,24.4464705,118.08273899999999,0
47225,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,4,2,0,0,-1,40,24.4464705,118.08273899999999,0
47942,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,10,1,4,4,45000,40,24.463299499999998,118.07723999999999,0
47943,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,10,1,4,4,45000,40,24.463299499999998,118.07723999999999,0
47944,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,10,1,4,4,45000,40,24.463299499999998,118.07723999999999,0
47945,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,10,1,4,4,45000,40,24.463299499999998,118.07723999999999,0
48662,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,2,0,1,1,45000,40,24.449120999999998,118.07821000000001,0
48663,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,2,0,1,1,45000,40,24.449120999999998,118.07821000000001,0
48664,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,2,0,1,1,45000,40,24.449120999999998,118.07821000000001,0
48665,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,2,0,1,1,45000,40,24.449120999999998,118.07821000000001,0
49382,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,4,1,3,3,45000,40,24.4387275,118.086183,0
49383,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,4,1,3,3,45000,40,24.4387275,118.086183,0
49384,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,4,1,3,3,45000,40,24.4387275,118.086183,0
49385,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,4,1,3,3,45000,40,24.4387275,118.086183,0
50102,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,1,1,0,3,3,45000,40,24.4715095,118.081364,0
50103,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,1,1,0,3,3,45000,40,24.4715095,118.081364,0
50104,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,1,0,3,3,45000,40,24.4715095,118.081364,0
50105,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,1,0,3,3,45000,40,24.4715095,118.081364,0
